cosid,rms_cdw_id,general_offense_number,offense_code,offense_code_extension,offense_type,summary_offense_code,summarized_offense_description,date_reported,occurred_date_or_date_range_start,occurred_date_range_end,hundred_block_location,district_sector,zone_beat,census_tract_2000,longitude,latitude,Relative_Date,geom
92766,769128,2016106596,1316,4,THREATS-OTHER,1300,THREATS,03/28/2016 08:29:00 AM +0000,01/20/2016 08:00:00 AM +0000,03/23/2016 04:00:00 PM +0000,92XX BLOCK OF RAINIER AV S,S,S3,11800.4010,-122.269256592,47.519920349,03/28/2016 05:00:54 AM +0000,"(47.519920349, -122.269256592)"
93090,769745,2016106970,2304,2,THEFT-LICENSE PLATE,2300,OTHER PROPERTY,03/28/2016 02:14:00 PM +0000,03/24/2016 08:00:00 AM +0000,03/25/2016 06:00:00 PM +0000,3XX BLOCK OF 9 AV,G,G1,8500.3001,-122.323440552,47.604129791,03/28/2016 05:00:54 AM +0000,"(47.604129791, -122.323440552)"
95218,771707,2016106914,1316,4,THREATS-OTHER,1300,THREATS,03/28/2016 01:30:00 PM +0000,03/26/2016 06:00:00 PM +0000,,19XX BLOCK OF E MADISON ST,C,C2,7900.5001,-122.306770325,47.616996765,03/28/2016 05:00:54 AM +0000,"(47.616996765, -122.306770325)"
94933,771304,2016107222,1206,0,ROBBERY-STREET-BODYFORCE,1200,ROBBERY,03/28/2016 05:48:00 PM +0000,03/28/2016 05:48:00 PM +0000,,4XX BLOCK OF NE NORTHGATE WY,L,L2,1200.4010,-122.324615479,47.708602905,03/28/2016 05:00:54 AM +0000,"(47.708602905, -122.324615479)"
94981,771356,2016106945,1313,0,ASSLT-NONAGG,1300,ASSAULT,03/28/2016 03:01:00 PM +0000,03/28/2016 01:50:00 PM +0000,,24XX BLOCK OF SW HOLDEN ST,F,F2,11401.1002,-122.364501953,47.533699036,03/28/2016 05:00:54 AM +0000,"(47.533699036, -122.364501953)"
95297,771786,2016108075,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,03/29/2016 11:41:00 AM +0000,03/15/2016 09:00:00 AM +0000,03/20/2016 05:00:00 PM +0000,127XX BLOCK OF AURORA AV N,N,N2,402.2003,-122.344963074,47.721847534,03/28/2016 05:00:18 AM +0000,"(47.721847534, -122.344963074)"
94619,770987,2016107245,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,03/28/2016 06:10:00 PM +0000,03/28/2016 05:15:00 PM +0000,03/28/2016 05:50:00 PM +0000,31XX BLOCK OF S FRONTENAC ST,S,S1,11002.2035,-122.290794373,47.53993988,03/28/2016 05:00:54 AM +0000,"(47.53993988, -122.290794373)"
94924,771293,2016107640,1204,0,ROBBERY-STREET-GUN,1200,ROBBERY,03/29/2016 02:27:00 AM +0000,03/29/2016 02:27:00 AM +0000,,NE 145 ST / LAKE CITY WY NE,L,L1,100.4000,-122.292434692,47.733753204,03/28/2016 05:00:54 AM +0000,"(47.733753204, -122.292434692)"
94332,770664,2016106785,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,03/28/2016 12:25:00 PM +0000,03/26/2016 09:30:00 AM +0000,03/28/2016 11:00:00 AM +0000,38XX BLOCK OF 24 AV S,R,R1,10001.1022,-122.301811218,47.569789886,03/28/2016 05:00:54 AM +0000,"(47.569789886, -122.301811218)"
93095,769750,2016107029,2304,2,THEFT-LICENSE PLATE,2300,OTHER PROPERTY,03/28/2016 03:36:00 PM +0000,03/28/2016 03:36:00 PM +0000,03/28/2016 08:00:00 AM +0000,73XX BLOCK OF 33 AV NW,J,J2,3100.4015,-122.399749756,47.681999207,03/28/2016 05:00:54 AM +0000,"(47.681999207, -122.399749756)"
95308,771797,2016107660,2301,0,THEFT-PKPOCKET,2300,PICKPOCKET,03/29/2016 03:01:00 AM +0000,03/29/2016 12:00:00 AM +0000,03/29/2016 03:00:00 AM +0000,54XX BLOCK OF DELRIDGE WY SW,F,F1,10701.1000,-122.362976074,47.552818298,03/28/2016 05:00:54 AM +0000,"(47.552818298, -122.362976074)"
94334,770666,2016107349,2304,2,THEFT-LICENSE PLATE,2300,OTHER PROPERTY,03/29/2016 12:43:00 AM +0000,03/28/2016 06:30:00 PM +0000,03/28/2016 07:47:00 PM +0000,12XX BLOCK OF N 143 ST,N,N2,300.2015,-122.343696594,47.732311249,03/28/2016 05:00:54 AM +0000,"(47.732311249, -122.343696594)"
93722,770088,2016107050,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/28/2016 04:27:00 PM +0000,03/25/2016 05:00:00 PM +0000,03/28/2016 01:30:00 PM +0000,6XX BLOCK OF NW BRIGHT ST,B,B2,4800.3003,-122.364875793,47.660015106,03/28/2016 05:00:54 AM +0000,"(47.660015106, -122.364875793)"
94621,770989,2016107507,2303,0,THEFT-SHOPLIFT,2300,SHOPLIFTING,03/28/2016 10:33:00 PM +0000,03/28/2016 09:55:00 PM +0000,,6XX BLOCK OF 5 AV S,K,K3,9100.2009,-122.327682495,47.596656799,03/28/2016 05:00:54 AM +0000,"(47.596656799, -122.327682495)"
93327,769881,2016106845,2606,1,FRAUD-CHECK,2600,FRAUD,03/28/2016 01:56:00 PM +0000,03/28/2016 12:33:00 PM +0000,,5XX BLOCK OF S JACKSON ST,K,K3,9100.2002,-122.327011108,47.599193573,03/28/2016 05:00:54 AM +0000,"(47.599193573, -122.327011108)"
93825,770191,2016107266,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/28/2016 06:18:00 PM +0000,03/27/2016 03:30:00 PM +0000,03/28/2016 05:00:00 PM +0000,15XX BLOCK OF 17 AV S,R,R1,9400.5015,-122.310546875,47.58921051,03/28/2016 05:00:54 AM +0000,"(47.58921051, -122.310546875)"
95440,771702,2016107171,2599,0,COUNTERFEIT,2500,COUNTERFEIT,03/28/2016 04:56:00 PM +0000,03/28/2016 04:56:00 PM +0000,,45XX BLOCK OF UNIVERSITY WY NE,U,U2,5301.2010,-122.313117981,47.662181854,03/28/2016 05:00:54 AM +0000,"(47.662181854, -122.313117981)"
94518,770886,2016107641,2399,3,THEFT-OTH,2300,OTHER PROPERTY,03/29/2016 02:30:00 AM +0000,03/29/2016 02:30:00 AM +0000,,20XX BLOCK OF WESTLAKE AV,D,D2,7200.1060,-122.337875366,47.615886688,03/28/2016 05:00:54 AM +0000,"(47.615886688, -122.337875366)"
